Magnitude of (-0.62, 0.10, 1.02) is:   1.20
Magnitude of (-0.65, 0.08, 1.03) is:   1.22
Magnitude of (-0.67, 0.07, 1.03) is:   1.23
Magnitude of (-0.68, 0.06, 1.05) is:   1.25
Magnitude of (-0.70, 0.04, 1.04) is:   1.25
Magnitude of (-0.71, 0.03, 1.05) is:   1.27
Magnitude of (-0.72, 0.02, 1.05) is:   1.27
Magnitude of (-0.74, 0.02, 1.05) is:   1.29
Magnitude of (-0.75, 0.00, 1.05) is:   1.29
Magnitude of (-0.77,-0.02, 1.05) is:   1.30
Magnitude of (-0.78,-0.04, 1.05) is:   1.31
Magnitude of (-0.80,-0.06, 1.05) is:   1.32
Magnitude of (-0.82,-0.08, 1.05) is:   1.34
Magnitude of (-0.84,-0.09, 1.05) is:   1.34
Magnitude of (-0.85,-0.11, 1.05) is:   1.36
Magnitude of (-0.85,-0.12, 1.05) is:   1.36
Magnitude of (-0.86,-0.14, 1.05) is:   1.36
Magnitude of (-0.86,-0.16, 1.05) is:   1.37
Magnitude of (-0.86,-0.17, 1.05) is:   1.37
Magnitude of (-0.86,-0.19, 1.06) is:   1.38
Magnitude of (-0.87,-0.20, 1.06) is:   1.38
Magnitude of (-0.86,-0.21, 1.06) is:   1.38
Magnitude of (-0.86,-0.22, 1.08) is:   1.40
Magnitude of (-0.86,-0.23, 1.06) is:   1.39
Magnitude of (-0.85,-0.24, 1.07) is:   1.39
Magnitude of (-0.85,-0.24, 1.07) is:   1.39
Magnitude of (-0.84,-0.25, 1.08) is:   1.39
Magnitude of (-0.83,-0.26, 1.08) is:   1.38
Magnitude of (-0.82,-0.26, 1.08) is:   1.38
Magnitude of (-0.81,-0.27, 1.08) is:   1.38
Magnitude of (-0.80,-0.26, 1.10) is:   1.38
Magnitude of (-0.78,-0.26, 1.09) is:   1.37
Magnitude of (-0.78,-0.26, 1.08) is:   1.36
Magnitude of (-0.77,-0.25, 1.07) is:   1.34
Magnitude of (-0.75,-0.24, 1.07) is:   1.33
Magnitude of (-0.73,-0.23, 1.06) is:   1.31
Magnitude of (-0.71,-0.21, 1.06) is:   1.29
Magnitude of (-0.70,-0.21, 1.05) is:   1.27
Magnitude of (-0.68,-0.20, 1.03) is:   1.25
Magnitude of (-0.66,-0.18, 1.01) is:   1.22
